run_id,K,N,variant,precision,recall,f1
deeplab_K10_N2_no-remove,10,2,no-remove,0.7305489956608087,0.6519464615123315,0.6628553181449963
deeplab_K10_N2_remove-unknown,10,2,remove-unknown,0.6820632182389348,0.6523685612224688,0.6648100244734
deeplab_K10_N3_no-remove,10,3,no-remove,0.6749574379990803,0.6525914881600682,0.6616753055948998
deeplab_K10_N3_remove-unknown,10,3,remove-unknown,0.6764488133964474,0.6534888242685699,0.6631717614307419
deeplab_K10_N4_no-remove,10,4,no-remove,0.6940301473189053,0.662348260086019,0.6736405235972414
deeplab_K10_N4_remove-unknown,10,4,remove-unknown,0.7321341528618639,0.6530435505845178,0.6678859982778514
deeplab_K50_N2_no-remove,50,2,no-remove,0.6806795495238726,0.6546481910434139,0.6655130854374653
deeplab_K50_N2_remove-unknown,50,2,remove-unknown,0.6842917857954484,0.649140250170906,0.6625107277516589
deeplab_K50_N3_no-remove,50,3,no-remove,0.6809037538293958,0.6554384110510986,0.6649328682738131
deeplab_K50_N3_remove-unknown,50,3,remove-unknown,0.6835144589954734,0.6576436968373149,0.6685660945072289
deeplab_K50_N4_no-remove,50,4,no-remove,0.6888747793730432,0.6597755877598064,0.671028319940055
deeplab_K50_N4_remove-unknown,50,4,remove-unknown,0.679199612180643,0.6505496391711182,0.6625144867394822
deeplab_K100_N2_no-remove,100,2,no-remove,0.6916705263132898,0.6495900192304775,0.666103487009174
deeplab_K100_N2_remove-unknown,100,2,remove-unknown,0.6913914293947476,0.6614797660236718,0.6732320639478586
deeplab_K100_N3_no-remove,100,3,no-remove,0.689223557330044,0.6537683011840203,0.6671832702105045
deeplab_K100_N3_remove-unknown,100,3,remove-unknown,0.7120825651038079,0.6467146148116683,0.6604665009392879
deeplab_K100_N4_no-remove,100,4,no-remove,0.685872741653156,0.6598374257132305,0.6702685120849632
deeplab_K100_N4_remove-unknown,100,4,remove-unknown,0.671706357279491,0.6509384857934027,0.659319231350269
